"","ID","Age","Sex","Whisker","Ear","Tail","Food","rainfall","Year"
"1","MS337",1,"Female",5.21466998722815,4,3.39951032627531,"earthworms","medium",2011
"2","TC932",10,NA,6.60928398984151,5,15.4030053614029,"peanuts","medium",2011
"3","GP452",12,"Female",6.14069976500399,4.6,7.0003656670071,"apples","medium",2011
"4","RY652",8,"Male",4.53015085565395,4.7,14.2849433368392,"apples","medium",2011
"5","UY702",4,"Female",5.5266208319105,5.4,5.1296174802817,"earthworms","medium",2011
"6","MT876",3,"Male",6.67256064037808,6,9.78809580134955,"apples","medium",2011
"7","CO702",7,"Male",6.23508975456238,6.9,16.4683690344538,"peanuts","medium",2011
"8","FZ223",11,"Male",5.19753117142552,4.9,18.22049255836,"apples","medium",2011
"9","MB212",2,"Female",6.51906264815672,6.8,4.37819583160768,"earthworms","medium",2011
"10","YL159",10,"Male",7.11981850233322,4.5,14.9693807248188,"earthworms","medium",2011
"11","CN755",12,"Male",7.2120293788355,6,14.8943109015136,"peanuts","medium",2011
"12","HC646",16,"Male",6.28725898062523,7.6,19.6982138094372,"earthworms","medium",2011
"13","OY389",16,"Male",7.02266689550224,5.5,16.6047784642336,"apples","medium",2011
"14","CK834",3,"Male",4.55341781598915,4.9,12.2388025292914,"peanuts","medium",2011
"15","ZF953",4,"Male",7.06023604465656,5.5,8.52574178358096,"peanuts","medium",2011
"16","WC390",4,"Male",4.89823593710001,7,9.1818171725079,"apples","medium",2011
"17","TZ458",NA,NA,5.57237616690382,4.6,18.2439312279405,"peanuts","medium",2011
"18","CA942",4,"Female",5.13811658768917,6.6,11.0024773247307,"peanuts","medium",2011
"19","XZ056",16,"Female",6.35999946377567,6.6,12.0474070454463,"peanuts","medium",2011
"20","GN688",2,"Female",8.31755842163528,5.8,2.27800519343045,"earthworms","medium",2011
"21","FV602",13,"Male",4.94134800703344,5.5,15.2506165289537,"apples","medium",2011
"22","VC883",3,"Male",8.03155325481431,5.1,10.6674874350139,"peanuts","medium",2011
"23","BG142",16,"Male",5.89626082516477,5.2,14.9974292742515,"apples","medium",2011
"24","TH195",1,"Male",5.79560347846832,6,8.93220773862925,"earthworms","medium",2011
"25","FW381",8,"Male",10.4531311229077,7.2,12.2556173409726,"peanuts","medium",2011
"26","JV204",16,"Male",6.1712291568573,5.4,24.2593452258555,"apples","medium",2011
"27","MR676",8,"Female",6.64228030036813,4.3,6.34432313564715,"earthworms","medium",2011
"28","ZU481",6,"Male",6.5410257666616,4.9,13.8744320905705,"peanuts","medium",2011
"29","HK841",6,"Male",4.82574287854615,5.7,12.6628546409484,"apples","medium",2011
"30","UQ839",16,"Male",4.65079726111471,5.2,15.5187454766545,"apples","medium",2011
"31","IZ561",15,"Male",5.03679369843431,5.4,19.8933532326119,"apples","medium",2011
"32","DQ144",1,"Female",5.58758635137057,5.4,6.57617209485862,"earthworms","medium",2011
"33","EC021",2,"Male",7.42845924645352,4.4,2.87094295013888,"apples","medium",2011
"34","JE819",9,"Female",5.87588217109527,5.4,7.15297760836188,"earthworms","medium",2011
"35","PJ280",10,"Male",3.66564628813692,6.2,13.5967627068386,"peanuts","medium",2011
"36","IW932",13,"Male",6.0872841185327,6.1,9.80999881461772,"apples","medium",2011
"37","QT108",8,"Male",3.91786679522667,6,14.3791007473927,"peanuts","medium",2011
"38","IT238",13,"Male",6.30331721406128,5.2,12.8697710290728,"peanuts","medium",2011
"39","ZU456",16,"Male",4.13886435300373,5.3,17.4149996906027,"earthworms","medium",2011
"40","AG427",15,"Male",5.81235928169897,4.5,17.1510163106687,"apples","medium",2011
"41","IM524",5,"Female",6.44096895737397,5.5,2.45789397904339,"earthworms","medium",2011
"42","DG953",2,"Male",7.21333614109762,5.7,8.76010756123774,"apples","medium",2011
"43","HR483",2,"Female",4.22018904166691,6.9,6.99304199564984,"peanuts","medium",2011
"44","KK340",4,"Female",3.21493131216025,6.3,7.18728442269382,"earthworms","medium",2011
"45","RF397",10,"Female",8.47557686576679,5.1,9.44398003481636,"earthworms","medium",2011
"46","WB368",1,"Male",8.12601634020044,5.8,5.66602073967643,"peanuts","medium",2011
"47","VJ500",8,"Male",6.35623026659993,4.6,12.3169663218581,"peanuts","medium",2011
"48","IM904",11,"Male",5.85365628543978,6.2,14.5011996705003,"apples","medium",2011
"49","NV076",4,"Male",6.27942621248764,6.3,9.1021143409006,"apples","medium",2011
"50","DT395",11,"Male",6.07956175105554,7.3,15.571495954064,"earthworms","medium",2011
"51","CO939",9,"Female",4.90686934222683,5.8,11.1958923761605,"apples","medium",2011
"52","DN908",12,"Female",4.86499004825672,5.1,8.70690648590911,"earthworms","medium",2011
"53","HD196",7,"Male",6.59716446543892,5.6,10.2597014952007,"apples","medium",2011
"54","GQ862",14,"Female",7.37006968632741,5.1,12.5177651757146,"apples","medium",2011
"55","EQ232",5,"Female",6.82787499629252,4.8,7.69355442060361,"peanuts","medium",2011
"56","EI377",14,"Male",6.45246900432387,5.6,19.3897372171804,"apples","medium",2011
"57","OO222",11,"Female",5.18844448261025,4.8,15.6410546012458,"peanuts","medium",2011
"58","KA028",15,"Male",7.62647127331225,5.6,13.5484554904679,"earthworms","medium",2011
"59","JH924",7,"Male",6.92166913017118,5.8,10.197341983562,"peanuts","medium",2011
"60","MA344",10,"Female",4.54700569474334,5.5,12.4590248518509,"earthworms","medium",2011
"61","KV235",1,"Male",5.70032198586756,5.3,5.05023976931289,"peanuts","medium",2011
"62","EP755",11,NA,5.56851415686533,5,13.7167056901098,"peanuts","medium",2011
"63","LW700",1,"Female",6.81852281022776,4.6,1.11149563925148,"earthworms","medium",2011
"64","OR141",10,"Female",6.65746220383528,6.2,5.89543506887914,"apples","medium",2011
"65","VW168",5,"Male",5.21470621669391,5.5,4.64802359775475,"apples","medium",2011
"66","DH546",10,"Male",5.06094144428887,6.2,8.72372638965464,"earthworms","medium",2011
"67","QO613",15,"Female",5.35542236724748,4.5,10.3757394965879,"earthworms","medium",2011
"68","BT731",10,"Male",8.19263955347145,5.6,9.41115586149515,"apples","medium",2011
"69","FR191",13,"Male",5.07295185624942,6.1,21.5206903091674,"peanuts","medium",2011
"70","TP745",6,"Male",5.58977037374227,5.5,8.21821274489222,"apples","medium",2011
"71","TK874",14,"Female",5.95909995903704,5.3,12.0951350151782,"apples","medium",2011
"72","EU447",14,"Female",6.82006255390557,4.8,16.6501790621903,"apples","medium",2011
"73","WM451",14,"Male",5.37926884674739,7.2,13.5458485918063,"apples","medium",2011
"74","OO129",2,"Female",4.79446860603487,6.1,5.74583926960604,"apples","medium",2011
"75","SN771",10,"Male",7.11604730383244,7,12.120010417453,"peanuts","medium",2011
"76","DK892",NA,"Female",4.91896466327434,5.6,9.01864715547363,"apples","medium",2011
"77","WU162",2,"Female",6.68801457539258,5,5.79341885248556,"apples","medium",2011
"78","DM560",4,NA,3.22623635573434,4.2,9.83204317770058,"apples","medium",2011
"79","CE843",10,"Female",7.32585218746419,5,9.32246037872916,"peanuts","medium",2011
"80","FS693",6,"Male",3.26346249057801,5.7,6.86128190439443,"peanuts","medium",2011
"81","EK956",15,"Female",6.68671241456843,6.3,17.2415661769875,"peanuts","medium",2011
"82","BZ402",2,"Female",6.76247361966723,5.7,NA,"earthworms","medium",2011
"83","XG920",NA,"Male",7.46505997645137,4.5,11.2983085381035,"earthworms","medium",2011
"84","JQ906",5,"Female",4.02828596243701,6.1,4.27429144342021,"apples","medium",2011
"85","LP367",4,"Female",5.94168756291259,4.1,2.7531973866379,"apples","medium",2011
"86","VO581",11,"Male",3.8823931872153,5.2,11.920005984965,"apples","medium",2011
"87","SS342",14,"Male",5.52714882195816,5.2,20.1019780736569,"peanuts","medium",2011
"88","PQ069",1,"Female",8.00566333019454,3.9,NA,"apples","medium",2011
"89","SU178",12,"Male",4.72100380875436,6.3,16.477056438453,"apples","medium",2011
"90","CY377",4,"Male",5.62320468819157,5,9.40944150517204,"peanuts","medium",2011
"91","IH862",13,"Male",5.40199318071293,5.2,16.2566491179946,"apples","medium",2011
"92","YC699",3,NA,7.35010833898066,6.7,4.52886522214901,"apples","medium",2011
"93","GO371",11,"Female",7.42792203665767,6,14.5572953253904,"apples","medium",2011
"94","WL729",9,NA,5.91247853296302,5.4,13.545616747878,"apples","medium",2011
"95","WI463",NA,"Female",6.50689736039475,5.9,12.9288830838779,"peanuts","medium",2011
"96","XL146",5,"Male",5.08063550739457,5.8,6.84872653437955,"apples","medium",2011
"97","YZ176",9,"Female",5.80525142373463,6.9,14.3465142839384,"earthworms","medium",2011
"98","NZ311",13,NA,3.16805281620987,5.7,17.271166198826,"earthworms","medium",2011
"99","TM472",4,"Female",5.83386557596943,5.9,8.30616837152561,"earthworms","medium",2011
"100","PK989",14,"Male",6.1056048915874,5.8,20.880684042736,"peanuts","medium",2011
"101","MS337",NA,"Female",9.34050594639773,4,6.49878399231469,"earthworms","medium",2012
"102","TC932",11,"Male",9.44395984497783,5,15.8949174094336,"peanuts","medium",2012
"103","GP452",13,"Female",10.4668655539666,4.6,6.6597999887176,"apples","medium",2012
"104","RY652",9,"Male",8.43545557318931,4.7,18.3048529003835,"apples","medium",2012
"105","UY702",NA,"Female",7.46210798232716,5.4,3.2725020283472,"earthworms","medium",2012
"106","MT876",4,"Male",9.34327820896882,6,11.8307405280668,"apples","medium",2012
"107","CO702",8,"Male",9.95605601180557,6.9,16.2868810213411,"peanuts","medium",2012
"108","FZ223",NA,"Male",8.17620235689493,4.9,15.4408471640963,"apples","medium",2012
"109","MB212",3,"Female",10.257288585147,6.8,2.71789363529676,"earthworms","medium",2012
"110","YL159",11,"Male",12.3406743592757,4.5,16.6839951882135,"earthworms","medium",2012
"111","CN755",13,"Male",11.9593515576861,6,17.1021033271769,"peanuts","medium",2012
"112","HC646",17,"Male",11.2899897260245,7.6,24.9107618763004,"earthworms","medium",2012
"113","OY389",17,"Male",10.1923669255078,5.5,16.9919617273695,"apples","medium",2012
"114","CK834",4,"Male",5.67706958421562,4.9,16.6600919144909,"peanuts","medium",2012
"115","ZF953",5,NA,9.7861545732031,5.5,11.3459142656612,"peanuts","medium",2012
"116","WC390",5,"Male",8.22503400048092,7,12.1567317371412,"apples","medium",2012
"117","TZ458",9,"Male",7.81696075758895,4.6,19.1481080478058,"peanuts","medium",2012
"118","CA942",5,"Female",8.43305459155973,6.6,13.5997929928833,"peanuts","medium",2012
"119","XZ056",17,NA,8.43279242783156,6.6,12.2476888567041,"peanuts","medium",2012
"120","GN688",3,"Female",10.774656603831,5.8,2.61160799899128,"earthworms","medium",2012
"121","FV602",14,"Male",6.90943125632073,5.5,19.1334992758217,"apples","medium",2012
"122","VC883",4,"Male",10.631056908044,5.1,11.4210495082244,"peanuts","medium",2012
"123","BG142",17,"Male",8.22277819274588,5.2,18.5445529198568,"apples","medium",2012
"124","TH195",2,"Male",7.18988244785845,6,7.95203074572533,"earthworms","medium",2012
"125","FW381",9,"Male",14.296778825928,7.2,13.3485809635097,"peanuts","medium",2012
"126","JV204",17,"Male",9.97765415416644,5.4,26.7981474123072,"apples","medium",2012
"127","MR676",9,"Female",9.49997178172957,4.3,8.28114892759965,"earthworms","medium",2012
"128","ZU481",7,"Male",9.38412457739205,4.9,14.9783002927828,"peanuts","medium",2012
"129","HK841",7,"Male",8.39453531906761,5.7,16.0974055565605,"apples","medium",2012
"130","UQ839",17,"Male",7.94132751558221,5.2,17.615436148314,"apples","medium",2012
"131","IZ561",16,"Male",8.38262171014211,5.4,23.9321237477626,"apples","medium",2012
"132","DQ144",2,"Female",8.85053379335171,5.4,9.59080946296745,"earthworms","medium",2012
"133","EC021",3,"Male",9.58715323919505,4.4,4.68388124106187,"apples","medium",2012
"134","JE819",10,"Female",8.06308217489722,5.4,8.10364135956942,"earthworms","medium",2012
"135","PJ280",11,"Male",7.27579605068244,6.2,17.638296063195,"peanuts","medium",2012
"136","IW932",14,"Male",9.22448531872352,6.1,12.2588753496363,"apples","medium",2012
"137","QT108",9,"Male",8.33414779839351,6,16.9694959077516,"peanuts","medium",2012
"138","IT238",14,"Male",9.47981628421291,5.2,15.9073616216107,"peanuts","medium",2012
"139","ZU456",17,"Male",7.32052776796583,5.3,18.3703009743712,"earthworms","medium",2012
"140","AG427",16,"Male",7.22400593398958,4.5,19.6581435056177,"apples","medium",2012
"141","IM524",6,"Female",9.56100587864866,5.5,2.10170464833139,"earthworms","medium",2012
"142","DG953",3,"Male",10.4633590712858,5.7,9.68385018745079,"apples","medium",2012
"143","HR483",3,"Female",6.81167860236448,6.9,6.98287351700803,"peanuts","medium",2012
"144","KK340",5,"Female",8.59979586821782,6.3,6.6343796985051,"earthworms","medium",2012
"145","RF397",11,NA,11.8683322008091,5.1,9.91538376112995,"earthworms","medium",2012
"146","WB368",2,"Male",10.9553755941465,5.8,4.36049976232748,"peanuts","medium",2012
"147","VJ500",9,"Male",9.07137060743576,4.6,13.6498308896477,"peanuts","medium",2012
"148","IM904",12,"Male",10.9807322746545,6.2,14.5849239157059,"apples","medium",2012
